,Unnamed: 0,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var
19,18288,62,metal,6.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2268.96676948,136087.560649,4185.67076217,727789.975157,0.137362221415,0.00108675174749,1.38158482835,2509.17907708,21.9879457879,14.9148773082,-100.440497387,1328.15214092,104.691229359,395.093619543,-57.2777540528,329.955733331,56.6228263601,112.089908981,-5.50253310225,92.7371023552
20,4320,80,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",3376.70342628,820964.924024,6890.3328829,2250758.00371,0.154921799297,0.00727386437201,2.51685412099,897.643836463,21.0394638719,29.9158669524,-64.0224010874,1806.65659548,50.7862814672,662.855713455,6.5718281461,490.011757528,27.8637451079,255.88478308,6.65114996358,190.3628089
21,8904,71,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2025.10910175,219303.210872,4572.13333485,1010177.35659,0.090744231468,0.00124242466206,7.13421070086,2149.79044621,14.8166611698,15.1768526658,-79.8959660432,3294.33689836,109.923754106,360.504899825,-17.0951617372,252.654414699,47.1134895906,221.579192901,-11.9631050248,128.426223403
22,16296,79,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2634.4744049,361697.599206,5562.41029251,1660564.99916,0.107868519864,0.00138563123233,-0.266597530802,2733.36037126,23.080251081,28.113802777,-163.428504869,952.101836001,65.9850108597,503.260227136,5.32778049234,180.661941828,41.8563356721,117.703249881,7.0063702705,71.3944727584
23,19200,0,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3421.99399316,1082678.3267,7954.432004,2706925.91732,0.126720718266,0.00946640778975,3.94593656671,1593.53852644,20.8441026312,28.6796901051,-94.6681236104,4167.05525521,55.6503697535,620.594107662,29.2795440767,326.224232049,27.0712528473,294.455011063,20.1042880701,140.311357592
24,20088,37,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3232.70475343,623750.89971,6693.66296103,2221903.48536,0.164692344961,0.00383817975262,8.67358713419,763.103645578,19.0561148711,19.4865601554,4.88292969934,4036.76380518,64.6058477102,517.955267491,-2.59131146161,737.671363705,10.4024756979,250.392626123,3.2257060929,118.515092183
25,15720,55,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",871.419940281,50410.8584553,1632.74260765,432657.457699,0.0377710150194,0.000131823922728,-5.3196905302,8261.79290193,16.9055457167,16.6768693495,-260.276489273,2638.40045969,180.678254363,493.516658301,-15.3963102524,612.562087106,48.6218676474,204.238596961,-0.0652526805183,82.377471969
26,7392,8,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1717.48111252,47225.3572933,3363.28601926,434299.42266,0.0849719143653,0.000310798088351,8.25613567842,1911.70423538,28.3661633399,31.3706414972,-14.9200428952,587.595290666,138.409795513,194.221652546,-41.8983617926,71.7762015213,22.0797952137,97.8289037299,-18.6651274789,57.5402366141
27,11232,68,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1130.60571624,193901.584302,2215.79164017,1323852.73527,0.0502184017684,0.000523145608293,-2.50740612722,6446.54010994,27.0738091518,24.2288922208,-229.384199718,2330.91018801,157.337748889,881.292822436,-16.7686099012,301.006805282,31.8793158161,233.219202913,-0.112906757104,188.868813452
28,1008,42,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2481.70248735,685906.637716,5050.4124841,3714612.25647,0.105848398135,0.00330060122513,-3.0065861041,3485.83576676,20.7627348151,15.7929528643,-174.689660595,3923.6517069,79.2756034219,614.028681986,-24.3826177387,781.562352024,17.9876042906,357.884956097,24.4300516655,260.088244628
29,20928,72,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2570.06847018,402651.510209,5353.97222475,2232874.71114,0.131663335756,0.00261353611194,5.23946626447,936.699401807,21.8138518881,25.8520505636,9.86747188511,2140.13183618,88.7856793262,806.026638416,-20.271196023,293.61343352,5.09583860183,188.365300299,-2.91028416949,119.419963387
30,10272,28,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1472.83211149,120665.558814,2922.90697674,593136.704169,0.0597868217054,0.000594575713585,-3.11416187782,3897.51116345,27.6588756674,36.637724201,-169.129835608,1607.35035656,132.871366759,334.718196431,-13.4800061572,267.892030984,31.1978047767,161.539285611,6.33902538141,162.082279946
31,16776,99,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1492.42339331,269546.411517,3374.25292969,2288817.90832,0.0462356922238,0.000537641951903,-9.83981262992,8980.97187713,22.9158623077,29.7193650552,-314.929802078,1950.13315332,112.765148709,530.253254211,9.68896745821,280.845959789,38.9962633015,94.1612955615,3.9514057127,84.4042391959
32,13248,52,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1441.35994132,446739.501003,3065.20138763,2075048.63576,0.0670830305233,0.00307710702084,0.108283913627,6213.38287315,24.4745215582,36.8641121268,-225.385767312,7873.68105125,117.703537893,670.386723234,-14.5619245452,817.211813262,64.8171696831,174.558088982,12.9718430961,314.014291605
33,23352,73,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2845.56382597,314592.143774,5924.16810501,757455.536088,0.176111312984,0.00450580629361,-0.754944156771,1963.49295695,19.0351676602,12.3237022806,-95.2247579393,3055.21233188,82.321685295,438.503662192,-26.2003986671,236.221422409,37.5381508597,182.112366772,-16.3305207617,132.133528899
34,1968,82,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2569.07116881,980774.67248,5318.90982694,3133330.81345,0.0995287518169,0.00564083199727,5.21397922887,2249.61280767,20.0282661321,21.8557169516,-115.680452274,6247.76981454,67.0091235991,968.037136724,1.97613953512,878.471033352,29.1556700722,317.239680254,3.98755450443,256.068186446
35,11808,92,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2334.09793557,181093.69802,4837.27550418,624738.131905,0.121131979772,0.0013246667648,5.36181844716,1590.76466367,21.3433224131,26.115995793,-50.7865032893,738.290030945,96.7580099276,237.304203937,-24.3581514664,185.598572383,66.1000981764,141.300354893,-14.6854499277,74.1094628413
36,14808,17,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1935.1379314,279080.431906,4328.74971612,1655898.06714,0.0842232164486,0.00163816894636,-8.27740023793,5540.8026395,18.6071988073,28.3487782164,-232.996211436,3333.40233146,105.927062767,523.339347574,-2.71302318266,393.902572785,37.4312035685,78.8647901816,-8.19052170179,60.5815367184
37,15744,56,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2979.72193664,269982.621159,6867.02193859,991786.955323,0.114796814438,0.00193642203764,7.20384841007,626.972072853,21.5163418132,20.3623207366,-38.1786136346,1284.22190446,64.9202188881,311.668239726,14.3343732546,125.821903332,21.2883626031,86.9248721547,7.53477262013,54.4077282837
38,4608,92,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2332.17559696,275859.828224,5841.03157931,1151097.83129,0.0727152979651,0.00152973868771,5.23677549534,2853.39193211,22.333147966,11.511538118,-144.937884684,1919.34023615,84.0247655655,280.256684597,10.8515899453,446.329861614,43.5872493437,186.505356049,6.25543534452,355.955492538
39,11520,80,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2051.09017611,578542.517983,4438.16843432,2861820.44839,0.0894860555959,0.00211122585499,4.08234668629,2517.56282353,22.2980785277,30.4056627783,-100.804741881,2950.4495711,111.583292142,818.972073939,-13.1598888015,461.032170733,44.5807080271,176.740483868,-5.9866179764,200.569584152
40,10080,20,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2410.88458497,1070339.28251,5219.3563204,3287275.05695,0.0869443435078,0.00542449859478,1.15450113015,3336.21484372,22.3159608076,20.5890689714,-161.070650603,5355.78735739,74.6368193906,1364.40855685,22.4357671627,259.698280118,46.0384956203,394.053630126,5.25607972104,231.449538898
41,4656,94,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1929.20579126,311274.524556,4409.72457531,1994847.66047,0.0541431988857,0.000967275453197,2.60164964895,3674.00162516,21.9922890875,12.8915115527,-169.970314948,2851.58822089,98.0631970073,697.129443186,-11.3084692788,405.196426499,38.2849738481,262.424459862,5.06003775515,306.637134188
42,168,7,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.22740929,458039.753032,3768.73620322,2931135.79102,0.0739496275436,0.00200357162181,-2.56841130553,4726.51618574,26.0823830713,47.1360460178,-192.284007265,5030.80230491,116.514957604,666.568404114,-10.9300960681,726.667086005,29.8988174342,417.914616149,-0.629633654725,344.61188227
43,16944,6,metal,6.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3238.00483269,346867.034292,6231.09971157,957456.36713,0.19808775436,0.00334032542172,-2.16429327172,2207.36140672,20.2823889308,26.7180915977,-140.74015801,785.145039556,55.9200853276,432.416171634,-12.2525351724,295.770713132,44.3002995016,152.407694941,-10.6165934686,153.260214748
44,10944,56,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1468.92090127,290631.392312,3213.42160247,1976175.35711,0.0549289910368,0.00101259188357,3.09696835322,4102.96258513,24.4612186332,19.9187879834,-164.833503351,4761.39632054,123.390775161,562.322459974,4.26543642423,485.000617688,48.7663751568,124.239753796,-5.15083562933,241.38923568
45,8760,65,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2294.33155248,181909.828645,4731.16188227,768628.733214,0.129054248425,0.00142061331246,2.74845303345,2341.08270868,15.3257172999,14.6734176098,-95.3426594687,1983.44780815,103.792780264,422.410772318,-36.9954851331,386.699231469,52.6976857041,156.580176471,-20.7412249742,147.996392245
46,21720,5,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2722.04865047,437027.57841,5468.0648165,1685428.28427,0.144572507873,0.00385801806744,8.17843455831,761.027002298,20.0411182555,22.4339057771,-24.6700926819,1558.67375997,73.7483738345,581.172319101,-11.5718817456,297.088399782,28.3843800522,211.324396385,6.21393415731,122.597374439
47,456,19,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.14222465,915004.838652,3841.35651344,4474029.19688,0.0711898921996,0.00415347431752,3.0578125675,4704.80823775,18.8395526655,18.2752667504,-184.449542274,8503.97538243,106.153915365,1202.57149707,4.06846136139,812.069588617,38.8061701637,273.714049079,8.41557556025,555.754406802
48,23160,65,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1888.32611412,315475.879687,4366.99201717,1666598.88082,0.0736649860707,0.00201902718493,8.40577873131,2613.68146094,15.7758001059,18.6326468788,-106.162430059,5129.83925466,105.540628304,481.174206651,-5.51487836673,864.002272127,50.0691859117,225.839736817,1.22044235869,130.79998939
49,9216,84,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2581.8070669,419175.140884,5392.13106377,1149734.11473,0.139127982679,0.00415456524177,2.04827339578,2020.12033446,25.5060698715,24.8201397409,-94.328899738,1766.87822419,91.8842370827,460.92680024,-17.5440901038,269.763475006,45.5181571672,90.305186907,-15.6725178987,158.538496005
50,6696,79,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",789.831259132,32090.5255675,1159.07056232,141525.546394,0.0521404887355,0.000364505904246,-25.3984302186,16913.5818843,14.7643546686,22.8346347484,-437.378081136,4061.19583709,171.110706127,820.207430756,7.3088083897,658.496499844,-3.14590677989,127.066951224,0.801322672588,138.135472362
51,15024,26,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1367.29842607,423502.142602,2632.12527253,2579385.47189,0.0586649103682,0.00295338752687,-19.6412176694,14397.9952291,24.0249693551,26.0922475039,-414.100485339,4358.76335456,105.003298509,1128.90063125,-7.72653112354,911.844124537,37.8815953853,174.516390892,0.23955164502,223.525604631
52,12000,0,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1784.80829346,129887.506323,3808.04681822,901434.93443,0.0830244670543,0.000767797739788,3.11774666526,2684.32962624,15.9959003566,18.7720959767,-113.610380746,2569.19441105,121.526926591,295.745459525,-19.1197158611,234.920347235,42.3458326596,150.987557766,-6.39720727317,167.92771826
53,22488,37,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3639.40845192,486525.967171,7774.37937182,1010815.5622,0.19017608406,0.00512928667281,6.55148245152,503.464835066,25.0149801403,36.3082716966,-26.628385609,1776.29891186,52.0045677892,306.705078187,4.1778550749,193.421563541,12.8287716736,177.174400004,16.7448466642,118.875140883
54,1104,46,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2322.18134902,764670.801263,5228.16991052,3063854.93696,0.0808673237645,0.00265060562646,-1.27940767626,3282.53337258,24.8095022798,29.0769997226,-169.040260563,3011.15037411,79.4890359981,741.345250386,15.2876177755,435.870889739,42.7684591541,331.433283559,7.7025360135,177.238750336
55,7560,15,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2336.41563106,1048955.62772,4502.40915698,2912160.34937,0.114135174419,0.00651545757901,-6.35989491668,3764.77985085,16.5212978252,23.3888377358,-174.965208414,3603.35239857,90.8586174462,1644.51674078,-18.6528693901,630.389380153,41.6400203952,259.263705717,-8.86707166283,308.652324872
56,15000,25,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1697.39635172,163757.153584,3803.12255859,1247526.36188,0.0636253179506,0.00073756344967,-5.82327400411,5831.91743187,23.0975582741,29.1669993703,-237.635226542,3514.12931484,108.331286333,385.020422477,2.00497374396,413.155138287,41.7628983658,143.13125671,-10.4752963197,105.822280946
57,2712,13,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1796.7638761,484133.101883,3621.32557004,2877893.57532,0.0965714328973,0.00141178297299,0.102780331609,3982.44608569,14.807615983,18.6168565178,-129.518593212,4840.47732812,141.8305919,2749.42970149,-42.5847207408,1054.34761265,33.9558224196,614.346097953,-6.93350901566,438.447179057
58,6120,55,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1079.7205503,146143.068198,1765.46392396,704387.304089,0.0592905916909,0.00052129901664,-29.3152015732,19376.3045337,17.1137223243,12.729426469,-484.110329042,4515.48286762,144.115630755,1624.09896066,1.41887669446,479.466347687,8.12017500927,135.097954136,4.94394504074,115.726213036
59,22680,45,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2248.30814242,842108.913447,4610.44240552,3744438.73654,0.109702034884,0.00434755785908,3.0275158937,1942.71195485,27.3993897903,30.223740824,-81.2780920954,4007.65950292,106.477406582,1479.96486995,-9.51695168835,423.322592337,17.9609313202,235.297760505,3.02297376085,189.16302037
60,8424,51,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3028.29360974,757396.605929,6728.75874364,1727340.47931,0.12064332001,0.00583561376972,6.04895791973,1075.94657973,18.0327617437,21.379785969,-66.5378939575,2330.93869725,66.8454909866,579.538549181,25.2059543264,351.842909108,26.3173679482,133.165737851,5.30952513372,131.477430821
61,5568,32,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",792.942899521,15061.6118816,1207.63711619,102777.094734,0.0365787003391,6.28117029e-05,-24.8062745064,21217.904151,23.3484443545,11.8347134887,-498.55546511,1809.05447315,177.524479471,139.65316904,11.2006828275,101.045059253,27.6418935827,48.435405678,-2.82397607423,67.0229645113
62,11832,93,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1537.48317328,340012.972768,3054.01747593,1180624.70374,0.0680732194767,0.00189024440056,-9.79085160275,5276.0898444,29.9515538866,25.1680062163,-213.521773592,4196.51676821,117.260336014,627.073750403,-21.8867326127,513.211220255,45.627096686,290.766684481,-10.2868825927,300.153147294
63,1272,53,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2003.54935635,1519429.74615,4158.72921966,6665087.5887,0.0897336028343,0.00751314410051,-4.09964820902,6718.39877587,21.2769950331,33.2112063305,-251.528674123,7635.92847,105.902783985,1209.70530728,2.30770969596,1200.4164365,32.5367996391,285.945570786,16.6109241651,248.273359039
64,4488,87,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2470.74551601,509773.746989,5507.0749682,1124057.10879,0.0874572280766,0.00555180259482,1.11377803405,3351.14108652,21.979966492,24.5622405723,-168.567832695,2819.85710617,70.9537957037,274.299854081,-3.00916673089,399.412241819,54.8432807011,123.791392859,-12.0526443561,161.042823398
65,21216,84,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3260.23011084,2604154.74909,6823.5215298,8228049.63354,0.135681246972,0.0139588520335,-0.533581337877,2088.3432487,21.3190094601,41.7933088856,-112.162431887,5005.10364752,59.8351526479,2328.94026262,14.5118816023,918.373774,19.2300990619,262.950417272,15.1344343351,314.567323767
66,18576,74,metal,6.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2720.31005604,366842.637406,5491.15041334,829852.091043,0.134705441497,0.00333359729455,-2.76014610451,4425.46305282,19.1863233238,23.1957679886,-201.13056539,1524.20386534,76.9246862452,503.12882608,-14.8643710149,255.504685304,68.7697735187,283.069365958,-12.9694803333,105.195564329
67,6816,84,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1001.18224545,24274.0866526,1731.54495594,93978.3328164,0.0579324884932,0.000179327199912,-22.8097096395,12947.2928406,19.8821141404,20.0506435381,-369.376373784,5769.94450831,171.986513983,223.951155357,-27.2614479688,578.467005246,6.0594094393,173.393320929,-0.0810997025283,276.745081244
68,8520,55,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1711.96655729,272022.464129,3617.65324082,2642660.5146,0.0665576550388,0.000368302731365,3.1004515022,2235.29711676,16.7699864401,15.3487157467,-91.7588031007,2090.02209148,129.943494402,490.712241172,1.80548810526,371.438636808,11.6970758355,214.111735727,3.24927895941,77.0567411807
69,5712,38,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1278.55579136,92127.2838538,2375.77165471,354446.792822,0.0757638384205,0.000752505805084,-15.1090112708,8126.07205532,15.3885901698,17.817663503,-276.161658568,6583.14786524,146.424714819,484.90678019,-36.5177411316,376.873762652,24.1700737648,259.215234501,-2.51662910231,165.288171612
70,7632,18,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2210.07698886,279967.016829,4595.36916334,1264727.41419,0.115783975291,0.00251429277905,5.35599964576,1910.46569798,19.1457936784,9.82499498666,-67.3734954608,1390.06584053,109.089225728,456.667139475,-32.721622209,349.907916728,45.6569413115,173.286070081,-11.6949681769,92.1014803329
71,23040,60,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1976.35807421,350182.908963,4254.20977925,1956717.87288,0.093113341812,0.00169234735663,3.14158933855,2963.19720783,22.1751610062,21.152279352,-120.962013134,3514.76689356,116.893118825,677.619451923,-22.7939954454,459.079907451,45.1545086336,141.782564678,-4.27578554046,119.825498622
72,0,0,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2133.43867959,276868.750702,4802.72222475,1915855.40565,0.0977910004845,0.00128516887603,-0.757256571243,3524.33178196,25.9755014428,30.8549109074,-159.400055881,3304.33035201,104.846650223,382.703431337,-10.2620508361,491.262887329,34.6649125918,283.206858452,-4.97850514069,159.602688212
73,20496,54,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3498.75015006,1378511.91742,7665.94550554,3113771.68182,0.13586028343,0.00836154223219,6.10406527986,1036.35496084,18.8464407209,33.1852774981,-46.3569525161,4335.1213241,55.8851346641,946.797092557,26.1817186569,559.852470731,16.5384501439,245.968810022,7.10119235903,213.049396622
