,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mfcc6 mean,mfcc6 var,mfcc7 mean,mfcc7 var,mfcc8 mean,mfcc8 var,mfcc9 mean,mfcc9 var,mfcc10 mean,mfcc10 var,mfcc11 mean,mfcc11 var,mfcc12 mean,mfcc12 var,mfcc13 mean,mfcc13 var
400,00010,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2151.28707249,699373.900446,4430.5650436,1884044.86408,0.10285095688,0.00492630109529,-11.9576536517,5626.6953999,28.8926334855,26.4811288481,-233.543947238,4996.46384633,87.4509953272,924.637755697,-22.2078020169,404.867047385,52.0239260935,344.760329332,-8.63493177109,413.557731144,25.0002956779,102.548344098,-18.267765668,328.95489512,1.92241873727,113.456161249,-9.13527206414,109.41514211,-0.217288492471,85.5166094826,-17.0626409194,102.419097313,-2.99661573045,86.1263626671,-9.78086940788,86.7378719026
440,00011,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1996.08989511,297423.887291,4556.70120594,1990180.85879,0.0704093992248,0.00146448467996,-2.20596149097,4625.413409,22.0764924567,40.1665024614,-198.372338756,4848.71056464,102.443405545,522.386425292,-10.0884523617,627.673310549,30.7970285921,312.303181068,-3.35606632149,245.114267748,20.2681667454,146.588756709,-5.65492527458,146.801298269,28.0861346968,113.412937386,-11.5280751234,92.3910341913,18.1945055669,86.3464891487,-7.38238167882,77.2684525345,12.2722478212,78.3614921915,-4.35674883365,68.911260726
480,00012,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2299.47668801,908434.405447,4915.32919241,3378235.40882,0.113816088299,0.00782929525303,-4.11073430099,4424.62170648,24.4415168838,50.1259849923,-191.086087153,5317.86679703,96.3555290291,990.248593564,-17.6523308092,677.55682298,24.9192834009,466.455407526,-0.860072725167,360.671100716,26.3311913298,247.518120532,-12.8716264422,287.607865638,19.6225858979,220.408737509,-9.76168756913,133.378955037,16.9679623497,106.822469149,-8.59606976142,113.500844037,11.4354670883,93.699027254,-8.24369054807,92.5480176491
520,00013,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1606.0116717,631735.834728,3429.3044831,3768505.38012,0.0705244670543,0.00351906209015,-1.57529416724,5400.59091811,26.4143144947,39.9419341345,-206.413201139,6455.33049977,122.696088847,925.032018439,-0.648688981575,858.921880997,29.3792276377,279.367369993,10.2954348713,327.19915333,28.2019215011,192.594188771,-9.8804426489,245.007315074,13.4010816051,152.903422685,-8.40705368705,147.597039588,11.2871829198,197.323869753,-7.23002668696,128.312851802,7.12182775863,105.262547794,-10.2821761706,115.437908869
560,00014,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1717.12182633,921590.329104,3793.69134947,4741467.30324,0.0641779463421,0.00339250218731,-0.559830613484,5279.40112923,18.2459753848,24.3447680021,-209.717829781,6716.55142998,105.179704572,1307.98576232,2.61399494206,814.163042244,34.91631865,405.884288125,15.321831208,349.672869601,25.2520967324,183.526205827,-6.06357713033,292.106551177,18.2170500555,215.794920101,-5.09967564525,208.633468451,8.90656920808,127.332395399,-1.01195915128,125.102122969,8.23691394485,90.7541546959,-4.02923558025,96.9671436084
600,00015,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1924.8072254,663824.048876,4496.26635174,3863531.85802,0.0682798873547,0.0018575649509,2.33364523177,3654.50045599,18.8133022127,14.5260866438,-157.551794187,3851.56953554,109.809731539,845.438310242,8.47704085083,521.071265351,41.7912414162,275.97838674,5.09658742947,201.583337971,25.7666617933,193.94201214,-13.0136146555,186.844429663,22.0488793377,122.389629042,-15.5386268379,125.011896663,14.3865224675,134.247181195,-11.9251401765,79.6125911076,11.6085723811,85.6396795844,-10.6186733449,73.3128935383
640,00016,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2117.59566276,225413.144334,4849.06034248,1085875.43861,0.0793369973353,0.00128685450183,6.65411075629,1959.08208489,20.8355413073,19.1106771933,-75.9899756749,3795.89000543,101.134792859,305.315800716,-11.6576414509,429.734902395,46.2479176479,136.083716238,-11.2196849116,77.8390217051,31.3975975182,75.8857918081,-9.44269617905,85.6243452485,22.4509384429,55.2888039442,-16.8128101271,56.6324810398,15.95711296,62.1338643433,-9.50075765051,53.910977429,11.7851371931,52.4825282289,-7.84649079499,46.4341956223
680,00017,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1802.7163727,660515.072993,3775.0292401,2636654.94971,0.0779732164486,0.0035594135011,1.274648029,3726.29742119,18.8855741617,16.2064223369,-155.061296746,4667.19081595,110.050736216,1399.31454428,-18.4246067873,609.062588102,36.5723895727,344.859321994,0.561910757592,429.545041429,31.5866933858,188.84985814,-10.3804140284,324.256641637,18.7837758985,135.954012893,-7.16086974747,225.198739626,13.1083380102,134.332672472,-5.22829533458,129.244852681,8.87803400455,88.7636103936,-6.71597082464,121.255550152
720,00018,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1906.17826771,754164.807541,4217.16098519,3633016.09411,0.0772078639777,0.00340959931386,0.491094024899,4060.74822725,17.5580953298,21.2447488118,-171.121196229,5117.92059352,107.757422626,974.718121018,-1.73246203392,545.245234023,46.4355498438,229.590071029,-0.189646272135,344.669004593,24.9432970331,187.524258117,-10.6582683435,200.260634278,18.0482497255,119.766604223,-10.7684967946,165.950434528,11.1282175923,112.311003395,-7.22976138205,117.330780292,6.20341812504,92.2990537999,-6.43210156681,98.4252097685
760,00019,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.14222465,915004.838652,3841.35651344,4474029.19688,0.0711898921996,0.00415347431752,3.0578125675,4704.80823775,18.8395526655,18.2752667504,-184.449542274,8503.97538243,106.153915365,1202.57149707,4.06846136139,812.069588617,38.8061701637,273.714049079,8.41557556025,555.754406802,30.4713035733,153.19323097,-3.35604607015,379.834864934,20.2917823233,130.159102518,-1.54879410565,166.596680042,15.9317030254,96.0894979835,-6.52015042307,103.593095873,13.201645886,88.2593300204,-1.71446100745,107.195736352
800,00020,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1638.97187205,575210.110495,3599.19144032,3314232.98257,0.056812469719,0.00229747687572,2.04121777663,4386.49602396,20.1353570588,22.6371200763,-177.643339031,6045.19199013,113.55736823,828.445413595,2.3294947508,498.249059168,35.8184803265,337.736270362,1.59204686479,262.930554118,34.6982422613,152.863462832,-8.75098342,264.005286215,16.3241011645,167.306696817,-9.34036181361,180.344557177,14.1164398942,123.850624924,-2.0619488757,151.656493803,13.1280654854,131.830170471,-7.23177474056,128.410126233
840,00021,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2008.74436788,275098.762559,4327.57290153,1292748.81638,0.0929081879845,0.00159227935936,4.33423136927,2066.72854053,15.6460559895,20.3373422672,-88.1231687355,1517.54619789,109.360511088,442.668057174,-25.2241964132,313.813795872,40.402258709,154.919074402,-8.81272395336,136.556892957,24.6985223199,149.181647394,-11.5756135629,147.637430404,18.4771907957,76.5713381179,-8.3140653195,79.898734054,17.023631058,63.903753379,-8.46477652433,74.2693577977,9.80298183023,50.3588124077,-12.9055434919,54.0272272765
880,00022,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2059.12466646,243370.742305,4551.23444313,1253566.27505,0.0723954548207,0.00127421493664,5.96022480085,2127.73420765,19.796005229,18.2797923027,-91.1900729815,3042.25728864,98.8749922158,469.527420145,-23.2200404083,330.246922612,46.8975349293,230.63484198,-6.86664482858,111.587310125,29.2392868738,124.090666622,-9.97992484407,115.108204462,25.6565257042,74.4269734709,-10.2251216271,71.6122226166,19.6216580246,92.0448106875,-8.22285216327,73.4111899803,13.4138083666,51.0990786919,-6.51622685039,66.3585900693
920,00023,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2354.06275073,740094.611669,5046.1809593,2565816.51161,0.120351108285,0.00831087650899,1.11084801406,3554.14715438,18.7306942717,18.8266758292,-161.863127004,4917.37181543,78.7207598674,945.248830075,-19.3304105978,381.698095846,55.1179001264,257.014478663,13.2187016603,209.833610653,30.9473442265,149.731549807,-7.04170741278,176.912696459,24.2336906937,99.376678754,-12.8572409149,142.236325108,21.4950159886,124.535057425,-13.5296333725,80.3360208987,12.7612260587,62.0245182817,-7.43149513688,67.5565645634
960,00024,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1812.17382236,656970.130027,3855.56175055,2888911.10212,0.0722701671512,0.00267258279793,-0.446446958863,4122.18781099,19.9591668649,31.014288206,-169.108416126,5888.50480355,110.470811911,1216.52225991,-8.5583261768,496.582423166,43.8544047192,327.946909459,0.274367780346,247.930469875,26.628114514,144.057660381,-14.3710816221,260.648222073,13.0235561488,129.937091719,-11.1675833325,166.484974348,8.12528891835,120.444969397,-7.70171913168,102.966572061,10.8994168684,77.8487124498,-8.17264493601,92.3332285733
1000,00025,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1708.76583886,600866.872964,3582.64092024,3103393.70177,0.0736740703731,0.00263447831581,0.366335148709,4517.74310897,20.6475295988,23.1744389003,-177.458500167,8154.5863095,110.977723676,1005.15222244,-15.6172769573,996.800291218,36.791092106,301.034166628,0.105152558538,362.667962802,24.4568659496,186.106194666,-3.78388851954,265.56022125,18.4073485118,184.796881478,-3.38204920358,205.922513455,13.7532140379,106.154471589,-2.11539153804,92.3087434967,8.57222268449,95.3272126995,-5.94415620582,105.75194232
1040,00026,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1840.26181668,595613.02107,4006.2274028,2982554.24336,0.074433745155,0.00227789581356,1.73282559898,4187.50702443,19.6025734604,28.2383737661,-171.788417094,7373.99736828,99.3816800216,924.786774017,-8.22331194475,646.912292065,49.5857280193,394.730820342,1.11336854152,383.45406431,31.1193995717,184.501526151,-7.13174552786,222.916469163,15.8539469459,136.931569246,-1.37316921903,183.19848887,12.7032596493,149.934046835,-5.19831661704,122.840136539,11.7996924799,106.669881076,-5.31538204015,101.773954749
1080,00027,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2086.33161159,831746.60374,4678.14680233,3577797.52622,0.0873220990795,0.0056541504157,-1.15027020109,4108.46478987,18.8101669637,20.7707405648,-177.774383819,6914.68459862,89.9455121584,1015.99390513,4.64966622076,744.472300457,40.1816800224,536.567593464,0.174956994486,313.673789125,23.1979988259,195.269016385,-9.90331066528,232.794896366,12.7612660423,148.958616648,-7.32940880463,142.478730003,18.7012444462,132.870869696,-5.71741692536,128.337996999,6.09822391723,117.191777392,-9.93954102801,102.603576204
1120,00028,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1641.84990286,794456.896923,3499.28739326,3125609.68562,0.0679210574128,0.0040700610281,-1.75090937373,7248.1956373,27.8799513088,39.2949462635,-256.142187178,9059.30534389,104.17295649,1174.8671045,-7.30983199285,983.942567935,56.2495987943,259.751426552,11.0274579206,683.336254215,27.3209450097,187.205673119,5.80721605479,179.168610665,17.8005601612,96.8591826472,-1.27211111902,109.408247477,14.6846011662,88.1386597342,-3.49051284842,74.5425707496,10.8644522912,52.5623826382,-2.4749666082,66.8094171807
1160,00029,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1585.73766775,295476.533597,3732.51368323,2241136.20558,0.0437117702277,0.00054423788578,2.05637790414,5069.25908113,29.4065934312,29.8586122992,-201.841281918,6020.20386448,111.10781171,402.805775206,8.78446949291,958.726209691,51.8235738348,133.78809432,1.29285881245,199.41105413,30.0150805369,99.9248602713,-4.48193147709,104.0639178,22.4522759117,96.3828064674,-7.14321552935,72.6769116468,11.5135741739,94.4956259438,-4.76981324948,59.8779602932,10.6158659061,61.7274900996,-2.63635545149,50.8028741529
1200,00030,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1813.12739518,893802.130206,4064.62578352,4684925.2309,0.0703673843266,0.00484023624641,0.772327603089,6417.71180498,28.2203283856,37.4241801706,-238.982105832,7827.6237015,98.9794287208,1210.96483577,19.1678634811,960.200687408,50.8257227383,330.901187617,2.86770416008,470.907203416,32.2650643714,125.108164958,-1.49185248643,226.744355178,16.754353642,75.7807471706,-7.4460868284,88.0194695558,16.7218605262,107.141744626,1.49806003583,56.3190119217,16.0753302116,89.3207217474,2.80491609909,73.1557991024
1240,00031,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1576.91279149,520249.260432,3538.19739053,3297116.29879,0.0584817102713,0.0016017928753,1.48858396937,6017.38441064,27.6038912507,30.6047430431,-226.328859536,8562.89531398,103.483035788,646.35804853,0.270149608989,985.39547823,44.0138040785,353.258890592,10.7272822873,517.462699913,35.2545772407,274.459418621,8.50418212512,194.996940159,21.1744471134,100.506405292,-3.25031895455,143.553983743,15.554977631,95.8041966184,-2.98235783419,87.6702172377,11.130256812,90.4000572566,1.80041524135,64.0842741697
1280,00032,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1510.86029865,333038.568594,3319.10956804,2061672.02432,0.0659149406492,0.00146891238161,-2.7184705755,6577.26845497,27.5905023715,40.1125496072,-243.761096528,4806.04612907,123.362893912,767.985108127,-15.5781603554,957.060573624,38.8679528685,497.441020617,6.45804401727,317.098838136,25.5095766208,163.627425272,3.02610608884,138.212984326,17.1640725738,85.7312027508,-0.199230435262,86.9750702827,8.98223858312,82.6024198952,-2.47406575174,55.8043999925,6.75782366001,59.9211170783,-3.45627273538,50.1192367685
1320,00033,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1617.38460256,651553.63851,3564.80508494,3772754.71098,0.0592080759448,0.00372630552535,-2.0122940897,6807.18081113,28.8059329376,43.7455804291,-249.155979892,6438.72602813,111.482140817,815.66198707,11.1716989565,1409.67421985,41.3001483798,303.03882083,-2.93468105933,296.060429941,34.5227579411,228.820556666,0.416740172774,208.981948616,22.3283082909,107.488942236,-9.97912356458,98.8133090114,10.2135100419,133.824517906,-2.82550253065,63.284862312,8.75188430465,70.9883571772,-1.45172502375,43.4033357911
1360,00034,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1292.2466123,474127.346299,2829.9887014,2982145.90317,0.0446531310562,0.000810263734419,0.441292594398,6614.96193128,28.0560171015,33.6700943976,-238.750296507,5880.90570018,132.306783678,798.208694513,-0.160908923575,580.384697922,41.226468567,239.846352917,2.42405515269,251.328649995,19.0897210792,240.652626199,8.00771486519,197.61738568,19.9519055428,94.0450058127,-0.645041719955,102.184659894,11.0860580873,124.611202202,-1.73424394544,75.4278248685,9.92705795536,73.0406027179,3.00752989575,65.935014512
1400,00035,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1700.50567878,553225.351314,3788.39985692,2856113.70683,0.0613584060078,0.00180445283675,-2.29764222858,5764.6081809,27.5777295819,43.7886432729,-223.374302753,6429.37910626,114.189512778,707.484929378,-4.43946730651,587.442172855,40.152137947,306.583865408,-5.10501670488,310.357331591,24.6972848727,251.563704291,0.732850580413,209.364444123,17.0515070742,130.852288528,-2.35608455409,108.28126751,11.173916753,75.5642608692,-3.07112776412,77.8105051552,6.15217069374,57.6623168523,-5.67273058774,51.7857343096
1440,00036,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1812.7483878,654614.34963,4121.40500091,2874917.51668,0.0593042181444,0.00202196621936,-2.03022442911,5895.06726403,27.475369516,37.4253332262,-236.478692888,5502.44731954,91.6577982669,705.936124793,1.84117126747,606.967933308,45.4293888537,194.452751192,1.22172677897,264.138851867,32.2673227292,228.495808705,9.05826801162,296.239173139,19.6052520941,198.650384059,-5.09954441928,111.250111105,10.9352070087,159.081624897,-4.05345078405,88.381904954,7.54650272981,102.176726549,-0.323867227365,112.535784068
1480,00037,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1709.134919,525181.548785,3836.57413926,2774447.26568,0.063331970688,0.00271381904554,-0.0988704487223,6598.95231938,26.4007121606,37.0827788562,-242.129948089,10400.2485128,97.495602135,585.613516346,-3.05551519358,795.900601934,45.3633146649,299.012347607,3.95251745037,468.116683602,28.6433985484,190.15203858,9.36947636981,188.365535085,26.5135122321,184.039163858,5.11581310648,121.628509415,12.7420738945,122.766972305,-0.31541983463,96.7068277205,11.7806360843,91.5001864843,3.23922279751,78.2581240741
1520,00038,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1700.47260497,525195.847433,3693.33660747,2830812.97121,0.0656041818072,0.00262890125523,-5.93279373019,6400.2056714,30.2133225641,53.8496837907,-240.096659825,8296.74097727,108.799838915,659.126026331,-8.06726380895,1164.16145366,32.2466397403,243.779023569,-8.81066680571,228.188567845,18.581890838,240.290404071,-4.75509570589,209.159559394,15.4843670317,201.520576215,-3.69223638451,152.341034008,14.5507635237,198.186723043,-4.79807858243,169.077137345,6.36785401017,200.135507877,-2.93767143924,125.954310212
1560,00039,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1312.9483834,541795.10697,2651.48011673,5115949.73433,0.025974669937,0.000353270053978,0.899436180775,9553.15991151,25.7741775879,26.3998746711,-300.158590654,11896.5177071,99.2610777989,1089.22819259,52.9632011114,2223.36034168,43.2313779048,502.39816612,18.8555329194,338.824229653,24.8477811048,198.503176528,-7.97833827747,187.85395358,22.1812542832,109.911051946,1.78442010094,71.298143586,24.7958678459,86.3273097404,8.39016518032,79.5753943184,20.7165470848,80.0572264719,2.80237394702,61.6989676064
1600,00040,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2029.56071238,844535.233154,3834.66285883,1950325.00812,0.100969749273,0.0075702059082,-23.0862360802,8647.74696774,22.6900877629,57.5197175661,-296.155352244,14132.8832121,93.2673165095,1567.12279386,-31.3635591391,628.831838301,29.5473123802,905.165409749,-18.8817626546,356.280848883,1.95056782682,355.440435948,-19.5056825582,299.518774472,-6.25960637379,208.350241113,-24.0342339171,141.528209821,-7.10448386125,116.224717525,-14.1317035057,211.797343125,3.21860050724,200.805129213,-10.6684820134,229.946944496
1640,00041,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1932.85586263,587063.206875,4127.14718841,2104376.26528,0.0591176114341,0.00141784704016,2.71720679272,4028.76519051,25.2438848015,25.3367349648,-177.061653265,4840.84928778,89.6432309672,1032.6112673,9.55333804537,729.520102247,65.4915678238,303.823938068,-1.03508363332,327.33679761,15.4737430259,221.646123081,7.95339611736,129.822649396,16.3165066873,95.2198701033,0.243444308808,89.2078358738,2.64147264151,113.360997782,2.89844575734,92.4055039121,0.639052978273,66.393023515,2.5662268506,68.1576455833
1680,00042,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2481.70248735,685906.637716,5050.4124841,3714612.25647,0.105848398135,0.00330060122513,-3.0065861041,3485.83576676,20.7627348151,15.7929528643,-174.689660595,3923.6517069,79.2756034219,614.028681986,-24.3826177387,781.562352024,17.9876042906,357.884956097,24.4300516655,260.088244628,15.7188177568,126.577631277,7.47966712664,161.504137979,4.22580797223,97.8810227181,3.90661852186,92.3475283545,4.80949534045,93.0328609984,2.76324187819,85.8923249941,1.72754392384,67.2395998247,-2.33779291775,80.333795072
1720,00043,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1483.824327,114488.730821,2774.78691633,213705.181029,0.0759190285853,0.0011314455095,-1.06551710166,4344.6950175,24.1944094146,28.2716051473,-164.77705202,3402.50107955,142.755384304,378.365887308,-41.4724427072,323.786877839,41.2573675555,102.338316842,16.1637755918,245.96019706,-5.52024747394,131.030455284,7.66902768744,64.8992344049,5.6192361492,72.9163816958,0.811036068807,54.5751255893,-10.472146844,76.6032225944,-2.34469616062,76.2054413534,-0.500406592988,55.0494875753,-3.04055787963,51.4050532242
1760,00044,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2453.12910682,888361.360474,5579.78708666,3848630.10293,0.0875446644864,0.00256598687102,5.73125768627,1955.13200348,23.0728102318,25.3194433243,-104.282782014,3831.33745737,83.9660010365,765.896472805,18.9159442902,493.182305512,28.9861257694,281.898888061,10.6433546231,168.677195592,9.30470257704,163.159936488,9.29136232513,159.855026266,6.51640674052,129.123969484,3.00426794195,104.427620642,2.49581042901,104.242807083,2.77952476976,60.5078010506,-0.216247455902,56.4476940329,3.10187888915,40.477243774
