,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mel1 mean,mel1 var,mel2 mean,mel2 var,mel3 mean,mel3 var,mel4 mean,mel4 var,mel5 mean,mel5 var
340,00010,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2151.28707249,699373.900446,4430.5650436,1884044.86408,0.10285095688,0.00492630109529,0.0617405846715,0.00176539109088,28.8926334855,26.4811288481,-233.543947238,4996.46384633,87.4509953272,924.637755697,-22.2078020169,404.867047385,52.0239260935,344.760329332,-8.63493177109,413.557731144,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
374,00011,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1996.08989511,297423.887291,4556.70120594,1990180.85879,0.0704093992248,0.00146448467996,0.0785639062524,0.00182458350901,22.0764924567,40.1665024614,-198.372338756,4848.71056464,102.443405545,522.386425292,-10.0884523617,627.673310549,30.7970285921,312.303181068,-3.35606632149,245.114267748,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
408,00012,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2299.47668801,908434.405447,4915.32919241,3378235.40882,0.113816088299,0.00782929525303,0.0756400749087,0.00181885843631,24.4415168838,50.1259849923,-191.086087153,5317.86679703,96.3555290291,990.248593564,-17.6523308092,677.55682298,24.9192834009,466.455407526,-0.860072725167,360.671100716,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
442,00013,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1606.0116717,631735.834728,3429.3044831,3768505.38012,0.0705244670543,0.00351906209015,0.111776232719,0.00261224107817,26.4143144947,39.9419341345,-206.413201139,6455.33049977,122.696088847,925.032018439,-0.648688981575,858.921880997,29.3792276377,279.367369993,10.2954348713,327.19915333,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
476,00014,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1717.12182633,921590.329104,3793.69134947,4741467.30324,0.0641779463421,0.00339250218731,0.114211596549,0.00403487309813,18.2459753848,24.3447680021,-209.717829781,6716.55142998,105.179704572,1307.98576232,2.61399494206,814.163042244,34.91631865,405.884288125,15.321831208,349.672869601,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
510,00015,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1924.8072254,663824.048876,4496.26635174,3863531.85802,0.0682798873547,0.0018575649509,0.13220782578,0.00297656166367,18.8133022127,14.5260866438,-157.551794187,3851.56953554,109.809731539,845.438310242,8.47704085083,521.071265351,41.7912414162,275.97838674,5.09658742947,201.583337971,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
544,00016,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2117.59566276,225413.144334,4849.06034248,1085875.43861,0.0793369973353,0.00128685450183,0.185765936971,0.00237850518897,20.8355413073,19.1106771933,-75.9899756749,3795.89000543,101.134792859,305.315800716,-11.6576414509,429.734902395,46.2479176479,136.083716238,-11.2196849116,77.8390217051,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
578,00017,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1802.7163727,660515.072993,3775.0292401,2636654.94971,0.0779732164486,0.0035594135011,0.139532357454,0.00360567192547,18.8855741617,16.2064223369,-155.061296746,4667.19081595,110.050736216,1399.31454428,-18.4246067873,609.062588102,36.5723895727,344.859321994,0.561910757592,429.545041429,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
612,00018,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1906.17826771,754164.807541,4217.16098519,3633016.09411,0.0772078639777,0.00340959931386,0.106416597962,0.00269721122459,17.5580953298,21.2447488118,-171.121196229,5117.92059352,107.757422626,974.718121018,-1.73246203392,545.245234023,46.4355498438,229.590071029,-0.189646272135,344.669004593,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
646,00019,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.14222465,915004.838652,3841.35651344,4474029.19688,0.0711898921996,0.00415347431752,0.139195352793,0.00462198164314,18.8395526655,18.2752667504,-184.449542274,8503.97538243,106.153915365,1202.57149707,4.06846136139,812.069588617,38.8061701637,273.714049079,8.41557556025,555.754406802,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
680,00020,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1638.97187205,575210.110495,3599.19144032,3314232.98257,0.056812469719,0.00229747687572,0.139297708869,0.00283528794535,20.1353570588,22.6371200763,-177.643339031,6045.19199013,113.55736823,828.445413595,2.3294947508,498.249059168,35.8184803265,337.736270362,1.59204686479,262.930554118,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
714,00021,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2008.74436788,275098.762559,4327.57290153,1292748.81638,0.0929081879845,0.00159227935936,0.155056878924,0.00390385393985,15.6460559895,20.3373422672,-88.1231687355,1517.54619789,109.360511088,442.668057174,-25.2241964132,313.813795872,40.402258709,154.919074402,-8.81272395336,136.556892957,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
748,00022,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2059.12466646,243370.742305,4551.23444313,1253566.27505,0.0723954548207,0.00127421493664,0.182299867272,0.00216848147102,19.796005229,18.2797923027,-91.1900729815,3042.25728864,98.8749922158,469.527420145,-23.2200404083,330.246922612,46.8975349293,230.63484198,-6.86664482858,111.587310125,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
782,00023,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2354.06275073,740094.611669,5046.1809593,2565816.51161,0.120351108285,0.00831087650899,0.107779420912,0.00275766314007,18.7306942717,18.8266758292,-161.863127004,4917.37181543,78.7207598674,945.248830075,-19.3304105978,381.698095846,55.1179001264,257.014478663,13.2187016603,209.833610653,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
816,00024,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1812.17382236,656970.130027,3855.56175055,2888911.10212,0.0722701671512,0.00267258279793,0.12376151979,0.0028261304833,19.9591668649,31.014288206,-169.108416126,5888.50480355,110.470811911,1216.52225991,-8.5583261768,496.582423166,43.8544047192,327.946909459,0.274367780346,247.930469875,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
850,00025,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1708.76583886,600866.872964,3582.64092024,3103393.70177,0.0736740703731,0.00263447831581,0.126882240176,0.00296665099449,20.6475295988,23.1744389003,-177.458500167,8154.5863095,110.977723676,1005.15222244,-15.6172769573,996.800291218,36.791092106,301.034166628,0.105152558538,362.667962802,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
884,00026,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1840.26181668,595613.02107,4006.2274028,2982554.24336,0.074433745155,0.00227789581356,0.134196341038,0.00349749741144,19.6025734604,28.2383737661,-171.788417094,7373.99736828,99.3816800216,924.786774017,-8.22331194475,646.912292065,49.5857280193,394.730820342,1.11336854152,383.45406431,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
918,00027,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2086.33161159,831746.60374,4678.14680233,3577797.52622,0.0873220990795,0.0056541504157,0.12774567306,0.00514600379393,18.8101669637,20.7707405648,-177.774383819,6914.68459862,89.9455121584,1015.99390513,4.64966622076,744.472300457,40.1816800224,536.567593464,0.174956994486,313.673789125,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
952,00028,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1641.84990286,794456.896923,3499.28739326,3125609.68562,0.0679210574128,0.0040700610281,0.0729388520122,0.00176240736619,27.8799513088,39.2949462635,-256.142187178,9059.30534389,104.17295649,1174.8671045,-7.30983199285,983.942567935,56.2495987943,259.751426552,11.0274579206,683.336254215,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
986,00029,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1585.73766775,295476.533597,3732.51368323,2241136.20558,0.0437117702277,0.00054423788578,0.103928677738,0.00183815648779,29.4065934312,29.8586122992,-201.841281918,6020.20386448,111.10781171,402.805775206,8.78446949291,958.726209691,51.8235738348,133.78809432,1.29285881245,199.41105413,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1020,00030,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1813.12739518,893802.130206,4064.62578352,4684925.2309,0.0703673843266,0.00484023624641,0.0807584449649,0.00135636574123,28.2203283856,37.4241801706,-238.982105832,7827.6237015,98.9794287208,1210.96483577,19.1678634811,960.200687408,50.8257227383,330.901187617,2.86770416008,470.907203416,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1054,00031,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1576.91279149,520249.260432,3538.19739053,3297116.29879,0.0584817102713,0.0016017928753,0.0920608490705,0.00185274193063,27.6038912507,30.6047430431,-226.328859536,8562.89531398,103.483035788,646.35804853,0.270149608989,985.39547823,44.0138040785,353.258890592,10.7272822873,517.462699913,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1088,00032,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1510.86029865,333038.568594,3319.10956804,2061672.02432,0.0659149406492,0.00146891238161,0.0638945773244,0.00160087365657,27.5905023715,40.1125496072,-243.761096528,4806.04612907,123.362893912,767.985108127,-15.5781603554,957.060573624,38.8679528685,497.441020617,6.45804401727,317.098838136,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1122,00033,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1617.38460256,651553.63851,3564.80508494,3772754.71098,0.0592080759448,0.00372630552535,0.0741507709026,0.00133854267187,28.8059329376,43.7455804291,-249.155979892,6438.72602813,111.482140817,815.66198707,11.1716989565,1409.67421985,41.3001483798,303.03882083,-2.93468105933,296.060429941,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1156,00034,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1292.2466123,474127.346299,2829.9887014,2982145.90317,0.0446531310562,0.000810263734419,0.0824525356293,0.00185781379696,28.0560171015,33.6700943976,-238.750296507,5880.90570018,132.306783678,798.208694513,-0.160908923575,580.384697922,41.226468567,239.846352917,2.42405515269,251.328649995,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1190,00035,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1700.50567878,553225.351314,3788.39985692,2856113.70683,0.0613584060078,0.00180445283675,0.0731058269739,0.00189298472833,27.5777295819,43.7886432729,-223.374302753,6429.37910626,114.189512778,707.484929378,-4.43946730651,587.442172855,40.152137947,306.583865408,-5.10501670488,310.357331591,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1224,00036,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1812.7483878,654614.34963,4121.40500091,2874917.51668,0.0593042181444,0.00202196621936,0.0801168829203,0.00318438978866,27.475369516,37.4253332262,-236.478692888,5502.44731954,91.6577982669,705.936124793,1.84117126747,606.967933308,45.4293888537,194.452751192,1.22172677897,264.138851867,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1258,00037,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1709.134919,525181.548785,3836.57413926,2774447.26568,0.063331970688,0.00271381904554,0.0860479772091,0.00273298472166,26.4007121606,37.0827788562,-242.129948089,10400.2485128,97.495602135,585.613516346,-3.05551519358,795.900601934,45.3633146649,299.012347607,3.95251745037,468.116683602,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1292,00038,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1700.47260497,525195.847433,3693.33660747,2830812.97121,0.0656041818072,0.00262890125523,0.0755979642272,0.00141745328438,30.2133225641,53.8496837907,-240.096659825,8296.74097727,108.799838915,659.126026331,-8.06726380895,1164.16145366,32.2466397403,243.779023569,-8.81066680571,228.188567845,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1326,00039,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1312.9483834,541795.10697,2651.48011673,5115949.73433,0.025974669937,0.000353270053978,0.104073494673,0.00374288624153,25.7741775879,26.3998746711,-300.158590654,11896.5177071,99.2610777989,1089.22819259,52.9632011114,2223.36034168,43.2313779048,502.39816612,18.8555329194,338.824229653,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1360,00040,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2029.56071238,844535.233154,3834.66285883,1950325.00812,0.100969749273,0.0075702059082,0.0391474813223,0.000899061560631,22.6900877629,57.5197175661,-296.155352244,14132.8832121,93.2673165095,1567.12279386,-31.3635591391,628.831838301,29.5473123802,905.165409749,-18.8817626546,356.280848883,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1394,00041,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1932.85586263,587063.206875,4127.14718841,2104376.26528,0.0591176114341,0.00141784704016,0.119952499866,0.000977119081654,25.2438848015,25.3367349648,-177.061653265,4840.84928778,89.6432309672,1032.6112673,9.55333804537,729.520102247,65.4915678238,303.823938068,-1.03508363332,327.33679761,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1428,00042,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2481.70248735,685906.637716,5050.4124841,3714612.25647,0.105848398135,0.00330060122513,0.0711689963937,0.00148191244807,20.7627348151,15.7929528643,-174.689660595,3923.6517069,79.2756034219,614.028681986,-24.3826177387,781.562352024,17.9876042906,357.884956097,24.4300516655,260.088244628,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1462,00043,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1483.824327,114488.730821,2774.78691633,213705.181029,0.0759190285853,0.0011314455095,0.110701277852,0.00178620580118,24.1944094146,28.2716051473,-164.77705202,3402.50107955,142.755384304,378.365887308,-41.4724427072,323.786877839,41.2573675555,102.338316842,16.1637755918,245.96019706,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1496,00044,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2453.12910682,888361.360474,5579.78708666,3848630.10293,0.0875446644864,0.00256598687102,0.152585536242,0.00338270864449,23.0728102318,25.3194433243,-104.282782014,3831.33745737,83.9660010365,765.896472805,18.9159442902,493.182305512,28.9861257694,281.898888061,10.6433546231,168.677195592,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1530,00045,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",4284.83713755,983502.161871,7928.08304188,1832061.11561,0.224088920179,0.00853343331522,0.0912963822484,0.0013240550179,19.6811663905,25.7729028212,-120.22752791,6129.61301712,16.3470717234,874.281829914,25.0951221497,1044.17862543,37.2626091228,455.284013286,9.26554249896,225.409409778,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1564,00046,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2322.18134902,764670.801263,5228.16991052,3063854.93696,0.0808673237645,0.00265060562646,0.0935949906707,0.00112076092046,24.8095022798,29.0769997226,-169.040260563,3011.15037411,79.4890359981,741.345250386,15.2876177755,435.870889739,42.7684591541,331.433283559,7.7025360135,177.238750336,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1598,00047,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2478.35304341,623514.389099,4759.50558685,1272250.53268,0.114936864099,0.00493412925077,0.109442017972,0.00213377806358,21.6451799273,30.5957306053,-140.279349127,4137.21170333,69.5894643624,1095.8592618,-10.0215870611,635.143662872,52.1915035242,426.856695073,3.31124098457,319.010587021,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1632,00048,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2672.30751013,834841.603607,5605.67700763,2027783.09586,0.111108209181,0.00503945781737,0.120172955096,0.00154024758376,21.5272057447,27.1525709751,-123.821357216,3870.8206225,66.2381884955,1023.77461373,8.16315029417,476.279602388,49.791421689,294.360219487,8.52941254565,227.807914433,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1666,00049,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2323.15556002,557995.073006,5452.23206986,3431236.88887,0.0807931352955,0.00242593766362,0.132699072361,0.00223201420158,24.6127522411,24.0761753915,-121.450237497,4123.85176843,89.5935967892,740.418383645,23.8011003801,434.765043048,32.7574141179,335.318111153,8.84219350143,139.342434219,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1700,00050,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2957.34810892,1842345.15677,5873.99073401,5275899.12303,0.127166984617,0.00872713346606,0.13141413033,0.00401860987768,22.5353597287,24.850887955,-104.723786433,5361.42404203,66.3085571033,1921.86633613,-2.28368600229,436.492903944,24.6353952111,330.985836654,8.44902730284,186.771818131,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1734,00051,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",4279.71637321,2493823.12978,7680.9269395,3499031.96419,0.275169952156,0.0286574392393,0.117168612778,0.00328530790284,16.9119769534,25.7148446135,-155.129296285,6083.98623638,-1.68200967096,2513.53301412,22.4484208997,763.157356721,30.3912561736,397.352792958,2.14076465363,184.595862582,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1768,00052,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",3288.90756699,1510716.60665,7286.35185774,3872844.10977,0.134163789971,0.00971497939216,0.1904989779,0.00835985690355,15.8696055953,17.3316943994,-85.2214647189,3301.96272954,60.9154253649,1177.65617197,34.829833713,594.745345268,19.8132957655,419.572891381,16.7420195209,333.447331215,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
